0 0 1

1 0 1
1 1 1

2 0 1
2 1 3
2 2 1

3 0 1
3 1 5
3 2 5
3 3 1

4 0 1
4 1 7
4 2 11
4 3 7
4 4 1

5 0 1
5 1 9
5 2 19
5 3 19
5 4 9
5 5 1

6 0 1
6 1 11
6 2 29
6 3 39
6 4 29
6 5 11
6 6 1

7 0 1
7 1 13
7 2 41
7 3 69
7 4 69
7 5 41
7 6 13
7 7 1

8 0 1
8 1 15
8 2 55
8 3 111
8 4 139
8 5 111
8 6 55
8 7 15
8 8 1

9 0 1
9 1 17
9 2 71
9 3 167
9 4 251
9 5 251
9 6 167
9 7 71
9 8 17
9 9 1

10 0 1
10 1 19
10 2 89
10 3 239
10 4 419
10 5 503
10 6 419
10 7 239
10 8 89
10 9 19
10 10 1

11 0 1
11 1 21
11 2 109
11 3 329
11 4 659
11 5 923
11 6 923
11 7 659
11 8 329
11 9 109
11 10 21
11 11 1

12 0 1
12 1 23
12 2 131
12 3 439
12 4 989
12 5 1583
12 6 1847
12 7 1583
12 8 989
12 9 439
12 10 131
12 11 23
12 12 1

13 0 1
13 1 25
13 2 155
13 3 571
13 4 1429
13 5 2573
13 6 3431
13 7 3431
13 8 2573
13 9 1429
13 10 571
13 11 155
13 12 25
13 13 1

14 0 1
14 1 27
14 2 181
14 3 727
14 4 2001
14 5 4003
14 6 6005
14 7 6863
14 8 6005
14 9 4003
14 10 2001
14 11 727
14 12 181
14 13 27
14 14 1

15 0 1
15 1 29
15 2 209
15 3 909
15 4 2729
15 5 6005
15 6 10009
15 7 12869
15 8 12869
15 9 10009
15 10 6005
15 11 2729
15 12 909
15 13 209
15 14 29
15 15 1

16 0 1
16 1 31
16 2 239
16 3 1119
16 4 3639
16 5 8735
16 6 16015
16 7 22879
16 8 25739
16 9 22879
16 10 16015
16 11 8735
16 12 3639
16 13 1119
16 14 239
16 15 31
16 16 1

17 0 1
17 1 33
17 2 271
17 3 1359
17 4 4759
17 5 12375
17 6 24751
17 7 38895
17 8 48619
17 9 48619
17 10 38895
17 11 24751
17 12 12375
17 13 4759
17 14 1359
17 15 271
17 16 33
17 17 1

18 0 1
18 1 35
18 2 305
18 3 1631
18 4 6119
18 5 17135
18 6 37127
18 7 63647
18 8 87515
18 9 97239
18 10 87515
18 11 63647
18 12 37127
18 13 17135
18 14 6119
18 15 1631
18 16 305
18 17 35
18 18 1

19 0 1
19 1 37
19 2 341
19 3 1937
19 4 7751
19 5 23255
19 6 54263
19 7 100775
19 8 151163
19 9 184755
19 10 184755
19 11 151163
19 12 100775
19 13 54263
19 14 23255
19 15 7751
19 16 1937
19 17 341
19 18 37
19 19 1

20 0 1
20 1 39
20 2 379
20 3 2279
20 4 9689
20 5 31007
20 6 77519
20 7 155039
20 8 251939
20 9 335919
20 10 369511
20 11 335919
20 12 251939
20 13 155039
20 14 77519
20 15 31007
20 16 9689
20 17 2279
20 18 379
20 19 39
20 20 1

