0 0 1

1 0 3
1 1 3

2 0 7
2 1 7
2 2 7

3 0 13
3 1 13
3 2 13
3 3 13

4 0 21
4 1 21
4 2 21
4 3 21
4 4 21

5 0 31
5 1 31
5 2 31
5 3 31
5 4 31
5 5 31

6 0 43
6 1 43
6 2 43
6 3 43
6 4 43
6 5 43
6 6 43

7 0 57
7 1 57
7 2 57
7 3 57
7 4 57
7 5 57
7 6 57
7 7 57

8 0 73
8 1 73
8 2 73
8 3 73
8 4 73
8 5 73
8 6 73
8 7 73
8 8 73

9 0 91
9 1 91
9 2 91
9 3 91
9 4 91
9 5 91
9 6 91
9 7 91
9 8 91
9 9 91

10 0 111
10 1 111
10 2 111
10 3 111
10 4 111
10 5 111
10 6 111
10 7 111
10 8 111
10 9 111
10 10 111

11 0 133
11 1 133
11 2 133
11 3 133
11 4 133
11 5 133
11 6 133
11 7 133
11 8 133
11 9 133
11 10 133
11 11 133

12 0 157
12 1 157
12 2 157
12 3 157
12 4 157
12 5 157
12 6 157
12 7 157
12 8 157
12 9 157
12 10 157
12 11 157
12 12 157

13 0 183
13 1 183
13 2 183
13 3 183
13 4 183
13 5 183
13 6 183
13 7 183
13 8 183
13 9 183
13 10 183
13 11 183
13 12 183
13 13 183

14 0 211
14 1 211
14 2 211
14 3 211
14 4 211
14 5 211
14 6 211
14 7 211
14 8 211
14 9 211
14 10 211
14 11 211
14 12 211
14 13 211
14 14 211

15 0 241
15 1 241
15 2 241
15 3 241
15 4 241
15 5 241
15 6 241
15 7 241
15 8 241
15 9 241
15 10 241
15 11 241
15 12 241
15 13 241
15 14 241
15 15 241

16 0 273
16 1 273
16 2 273
16 3 273
16 4 273
16 5 273
16 6 273
16 7 273
16 8 273
16 9 273
16 10 273
16 11 273
16 12 273
16 13 273
16 14 273
16 15 273
16 16 273

17 0 307
17 1 307
17 2 307
17 3 307
17 4 307
17 5 307
17 6 307
17 7 307
17 8 307
17 9 307
17 10 307
17 11 307
17 12 307
17 13 307
17 14 307
17 15 307
17 16 307
17 17 307

18 0 343
18 1 343
18 2 343
18 3 343
18 4 343
18 5 343
18 6 343
18 7 343
18 8 343
18 9 343
18 10 343
18 11 343
18 12 343
18 13 343
18 14 343
18 15 343
18 16 343
18 17 343
18 18 343

19 0 381
19 1 381
19 2 381
19 3 381
19 4 381
19 5 381
19 6 381
19 7 381
19 8 381
19 9 381
19 10 381
19 11 381
19 12 381
19 13 381
19 14 381
19 15 381
19 16 381
19 17 381
19 18 381
19 19 381

20 0 421
20 1 421
20 2 421
20 3 421
20 4 421
20 5 421
20 6 421
20 7 421
20 8 421
20 9 421
20 10 421
20 11 421
20 12 421
20 13 421
20 14 421
20 15 421
20 16 421
20 17 421
20 18 421
20 19 421
20 20 421

